"filename","title","description","date","location","author"
"GreenTurtle_ZH-CN529322639","夏威夷毛伊岛的海龟","","2009-07-12","","Reinhard Dirscherl/Visuals Unlimited, Inc."
"Louvre_ZH-CN1167144810","法国巴黎卢浮宫博物馆","","2009-07-13","","Chad Ehlers/Photolibrary"
"Valencia_ZH-CN366942357","西班牙瓦伦西亚艺术科学城","","2009-07-14","","Jeremy Woodhouse/Masterfile"
"Coati_ZH-CN2294897081","白色鼻子的长鼻浣熊","","2009-07-15","","Thomas Dressler/Photolibrary"
"Moorea_ZH-CN508684294","太平洋的莫雷阿岛","","2009-07-16","","Chad Ehlers/Photolibrary"
"Maine_ZH-CN1359922552","渔人的捕鱼陷阱, 绳套, 和浮漂在缅因州克莱德港口的船渠上","","2009-07-17","","Medford Taylor/Getty Images"
"LuxorTemple_ZH-CN3954624037","埃及卢克索神庙","","2009-07-18","","Radius Images/Photolibrary"
"Moon_ZH-CN623689350","在外层空间的月亮","","2009-07-19","","Corbis"
"Florence_ZH-CN1233333821","意大利佛罗伦萨市阿诺河边的维琪奥桥","","2009-07-20","","Chad Ehlers/Photolibrary"
"CentralPark_ZH-CN3533347728","美国纽约中央公园","","2009-07-21","","Walter Bibikow/Photolibrary"
"Tianchi_ZH-CN643339551","吉林省长白山天池","","2009-07-22","","Best View Stock/Photolibrary"
"Melbourne_ZH-CN1658075437","澳大利亚墨尔本市","","2009-07-23","","Jose Fuste Raga/Photolibrary"
"Arenal_ZH-CN123053096","哥斯达黎加，阿雷纳火山","","2009-07-24","","Radius Images/Photolibrary"
"YiPeople_ZH-CN1135103486","彝族火把节服饰","","2009-07-25","","China Photos/Getty Images"
"CastellondelaPlana_ZH-CN830085653","西班牙卡斯特利隆市","","2009-07-26","","Digital Vision/Photolibrary"
"LeafCutterAnts_ZH-CN3252262952","哥斯达黎加，布劳略卡里国家公园的切叶蚁","","2009-07-27","","Photoshot/age fotostock"
"LaGittazLake_ZH-CN30472450","法国波弗特山上的吉塔斯湖","","2009-07-28","","Jacques Pierre/Photolibrary"
"Bruges_ZH-CN1082058327","比利时布鲁日市","","2009-07-29","","Gary Yeowell/Getty Images"
"Leidschendam_ZH-CN466832942","荷兰斯奇丹市的风车","","2009-07-30","","Gavin Hellier/age fotostock"
